# ArrayDeque, ArrayList, HashMap, HashSet, LinkedHashSet, LinkedList, PriorityQueue, Stack, TreeMap, TreeSet, Vector
1, 12800, 21400, 15500, 16600, 29100, 81800, 19200, 17600, 24100, 27400, 3100
2, 4000, 6900, 8000, 3600, 5300, 7000, 19400, 4100, 25700, 7900, 2800
3, 5700, 6700, 4500, 3200, 23900, 5900, 9600, 4700, 25300, 51700, 2900
4, 2600, 6500, 5000, 3500, 5200, 6100, 7900, 4600, 13700, 34500, 3900
5, 2900, 7200, 5000, 3900, 4600, 5800, 8500, 6200, 14500, 17900, 2700
6, 3500, 5500, 5400, 2700, 7500, 5500, 8200, 8200, 21100, 36100, 2800
7, 2400, 6700, 10600, 4000, 6700, 4500, 8700, 20300, 19500, 16200, 3100
8, 2800, 7200, 7500, 4000, 8100, 3900, 8500, 8200, 19400, 13300, 3300
9, 2200, 6400, 6000, 3300, 5900, 4700, 9200, 4000, 32200, 13900, 3000
10, 2400, 5000, 6300, 2800, 7300, 5900, 6500, 4100, 29200, 16600, 3200
20, 32600, 7700, 6700, 4500, 27200, 5500, 33500, 23900, 54500, 48400, 66100
30, 15100, 8100, 8300, 6200, 16700, 7500, 14900, 5900, 55300, 41000, 52800
40, 13300, 13300, 9000, 5900, 15600, 12200, 20200, 5800, 45300, 37300, 9700
50, 17100, 10000, 26600, 6700, 11200, 8700, 22200, 7100, 48700, 22500, 24000
60, 14000, 26800, 11400, 13300, 12600, 9500, 19900, 10200, 62400, 37000, 41200
70, 14900, 32200, 9100, 8400, 11000, 33700, 67900, 7900, 87400, 53900, 31900
80, 12700, 33300, 10400, 7400, 16600, 25400, 41900, 9100, 70600, 29500, 10500
90, 15500, 10300, 10000, 12500, 12800, 5300, 15500, 8900, 75000, 30200, 14500
100, 16000, 10600, 10000, 9200, 20300, 7800, 16300, 7400, 34900, 28700, 9000
200, 21600, 11300, 11700, 14600, 21800, 9100, 18300, 16600, 62700, 43800, 12000
300, 31400, 19500, 16200, 20100, 25800, 12900, 36100, 17100, 87300, 84000, 21300
400, 27700, 20800, 37500, 48500, 31600, 18800, 33200, 15400, 72200, 77600, 24800
500, 53200, 20100, 42500, 49500, 30100, 13500, 30300, 21100, 90000, 69500, 24300
600, 34300, 30000, 35300, 26700, 50900, 21600, 45300, 23600, 67300, 104500, 30600
700, 43700, 26600, 28400, 36400, 49800, 20500, 49200, 27300, 45600, 108100, 31900
800, 46700, 34400, 27300, 54700, 174300, 23400, 46200, 28400, 50000, 78000, 47500
900, 62900, 35500, 29200, 40600, 65200, 26900, 78300, 40700, 46300, 87800, 38800
1000, 73500, 61500, 45600, 44200, 45400, 45900, 65600, 49200, 63800, 105500, 60500
2000, 74300, 53600, 58100, 85600, 78800, 35700, 128200, 47500, 118900, 198300, 73700
3000, 85600, 50100, 67100, 107400, 105700, 38000, 86900, 127100, 136200, 283700, 62600
4000, 93100, 70700, 86500, 155000, 154000, 85000, 104700, 83100, 233900, 395300, 78200
5000, 89800, 77500, 114000, 169900, 196500, 67600, 127600, 103900, 261800, 545000, 92000
6000, 118500, 89600, 137000, 340000, 213700, 85200, 149500, 113100, 299900, 662500, 119300
7000, 118300, 107800, 156800, 457600, 309400, 93200, 180200, 132900, 333100, 735600, 129600
8000, 141600, 116100, 200700, 282800, 332000, 99800, 191400, 204500, 429900, 890100, 150800
9000, 181600, 295400, 201200, 304400, 356200, 135400, 247800, 161900, 423000, 1037600, 165000
20000, 288200, 281900, 452400, 659700, 798100, 270000, 466100, 368100, 1018700, 2636800, 366400
40000, 228000, 373400, 491800, 1018400, 1273300, 366600, 1064400, 627500, 1994000, 4894800, 680300
60000, 282500, 354100, 831900, 1856900, 1960100, 315500, 933600, 901600, 3884900, 8088800, 966900
80000, 306800, 346000, 793700, 2037500, 2841100, 376800, 1120100, 1171100, 5744400, 11777800, 1172700
100000, 289700, 312500, 1142800, 3466500, 4313900, 323800, 1259600, 1401200, 7186100, 17426100, 1425800
1000000, 3785200, 6785400, 16338700, 50428600, 96616300, 4795600, 14549700, 14578500, 107166400, 469484700, 15220800
2000000, 11264500, 10703700, 43317700, 131462200, 177747000, 11084900, 29800800, 30971600, 211688100, 1186194100, 32348900
